CLASS 2,EXPENSES,,,,,,,,,,,,,,,,,,
CLASS 3,ASSETS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-SubProgramme: Group of related interventions/outputs contributing to Programme,,,,,,,,,,,,,,,,,,,
Outcomes.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Department: Administrative units within the institutions that implement activities.,,,,,,,,,,,,,,,,,,,
Thousand Uganda Shillings,2021/22 Approved Estimates,,,,,,,,,,,,,,,,,,
Programme 18 Development Plan Implementation,,,,,,,,,,,,,,,,,,,
,GoU,External Fin,Total,,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
Programme 15 Governance and Security,,,,,,,,,,,,,,,,,,,
,GoU,External Fin,Total,,,,,,,,,,,,,,,,
,"3,944,765",0,"3,944,765",,,,,,,,,,,,,,,,
,"49,005,165",0,"49,005,165",,,,,,,,,,,,,,,,
,"10,036,154",0,"10,036,154",,,,,,,,,,,,,,,,
,"71,015,444",0,"71,015,444",,,,,,,,,,,,,,,,
,"134,001,528",0,"134,001,528",,,,,,,,,,,,,,,,
,"124,115,409",0,"124,115,409",,,,,,,,,,,,,,,,
,"141,524,564",0,"141,524,564",,,,,,,,,,,,,,,,
,"131,638,445",0,"131,638,445",,,,,,,,,,,,,,,,
Thousand Uganda Shillings,2020/21 Approved Budget,,,,2021/22 Approved Estimates,,,,,,,,,,,,,,
"Sub-SubProgramme 01 Oversight, Monitoring and Evaluation & Inspectionof policies and programs",,,,,,,,,,,,,,,,,,,
Recurrent Budget Estimates,Wage,Non-Wage,AIA,Total,Wage,Non-Wage,Total,,,,,,,,,,,,
0,"824,800","824,800",,,,,,,,,,,,,,,,,
0,"603,200","603,200",,,,,,,,,,,,,,,,,
0,"367,880","367,880",,,,,,,,,,,,,,,,,
0,"330,000","330,000",,,,,,,,,,,,,,,,,
0,"8,400","8,400",,,,,,,,,,,,,,,,,
0,"7,060,000","7,060,000",,,,,,,,,,,,,,,,,
,,,,,0,"250,000","250,000",,,,,,,,,,,,
,,,,,0,"116,000","116,000",,,,,,,,,,,,
,,,,,0,"30,000","30,000",,,,,,,,,,,,
,,,,,0,"400,000","400,000",,,,,,,,,,,,
,,,,,0,"12,000","12,000",,,,,,,,,,,,
,,,,,0,"12,000","12,000",,,,,,,,,,,,
,,,,,0,"100,000","100,000",,,,,,,,,,,,
,,,,,0,"354,700","354,700",,,,,,,,,,,,
,,,,,0,"200,000","200,000",,,,,,,,,,,,
,,,,,0,"100,000","100,000",,,,,,,,,,,,
,,,,,0,"862,455","862,455",,,,,,,,,,,,
,,,,,0,"3,360,455","3,360,455",,,,,,,,,,,,
,,,,,0,"43,876,165","43,876,165",,,,,,,,,,,,
Arrears,Wage,Non Wage,AIA,Total,Wage,Non Wage,Total,,,,,,,,,,,,
,,,,,0,"4,940,034","4,940,034",,,,,,,,,,,,
,,,,,0,"4,940,034","4,940,034",,,,,,,,,,,,
,,,,,0,"4,940,034","4,940,034",,,,,,,,,,,,
Arrears,Wage,Non Wage,AIA,Total,Wage,Non Wage,Total,,,,,,,,,,,,
"2,948,187",0,"2,948,187",,,,,,,,,,,,,,,,,
0,"218,000","218,000",,,,,,,,,,,,,,,,,
0,"5,197,273","5,197,273",,,,,,,,,,,,,,,,,
0,"25,000","25,000",,,,,,,,,,,,,,,,,
0,"45,000","45,000",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"25,000","25,000",,,,,,,,,,,,,,,,,
0,"90,000","90,000",,,,,,,,,,,,,,,,,
0,"374,898","374,898",,,,,,,,,,,,,,,,,
0,"550,000","550,000",,,,,,,,,,,,,,,,,
0,"96,000","96,000",,,,,,,,,,,,,,,,,
0,"179,923","179,923",,,,,,,,,,,,,,,,,
0,"72,169","72,169",,,,,,,,,,,,,,,,,
0,"126,779","126,779",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,"223,511","223,511",,,,,,,,,,,,,,,,,
"2,948,187","7,223,552","10,171,739",,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,
